name,type,value,date
塞维利亚,Sevilla,3,1
巴塞罗那,FC Barcelona,3,1
莱万特,Levante,3,1
皇家马德里,Real Madrid,3,1
毕尔巴鄂竞技,Athletic Bilbao,3,1
韦斯卡,SD Huesca,3,1
皇家社会,Real Sociedad,3,1
塞尔塔,Celta Vigo,1,1
巴伦西亚,Valencia?,1,1
西班牙人,RCD Espanyol,1,1
马德里竞技,Atletico Madrid,1,1
瓦拉多利德,Real Valladolid,1,1
赫罗纳,Girona,1,1
比利亚雷亚尔,Villarreal,0,1
埃瓦尔,Eibar,0,1
莱加内斯,Leganes,0,1
赫塔菲,Getafe,0,1
巴列卡诺,Rayo Vallecano,0,1
皇家贝蒂斯,Real Betis,0,1
阿拉维斯,Alves Sales,0,1
皇家马德里,Real Madrid,6,2
巴塞罗那,FC Barcelona,6,2
塞维利亚,Sevilla,4,2
西班牙人,RCD Espanyol,4,2
皇家社会,Real Sociedad,4,2
韦斯卡,SD Huesca,4,2
毕尔巴鄂竞技,Athletic Bilbao,4,2
塞尔塔,Celta Vigo,4,2
马德里竞技,Atletico Madrid,4,2
莱万特,Levante,3,2
赫塔菲,Getafe,3,2
莱加内斯,Leganes,1,2
比利亚雷亚尔,Villarreal,1,2
瓦拉多利德,Real Valladolid,1,2
巴伦西亚,Valencia?,1,2
赫罗纳,Girona,1,2
阿拉维斯,Alves Sales,1,2
皇家贝蒂斯,Real Betis,1,2
埃瓦尔,Eibar,0,2
巴列卡诺,Rayo Vallecano,0,2
巴塞罗那,FC Barcelona,9,3
皇家马德里,Real Madrid,9,3
塞尔塔,Celta Vigo,7,3
毕尔巴鄂竞技,Athletic Bilbao,5,3
莱万特,Levante,4,3
塞维利亚,Sevilla,4,3
西班牙人,RCD Espanyol,4,3
皇家社会,Real Sociedad,4,3
赫塔菲,Getafe,4,3
马德里竞技,Atletico Madrid,4,3
阿拉维斯,Alves Sales,4,3
赫罗纳,Girona,4,3
皇家贝蒂斯,Real Betis,4,3
韦斯卡,SD Huesca,4,3
埃瓦尔,Eibar,3,3
瓦拉多利德,Real Valladolid,2,3
巴伦西亚,Valencia?,2,3
比利亚雷亚尔,Villarreal,1,3
莱加内斯,Leganes,1,3
巴列卡诺,Rayo Vallecano,1,3
巴塞罗那,FC Barcelona,12,4
皇家马德里,Real Madrid,10,4
塞尔塔,Celta Vigo,7,4
西班牙人,RCD Espanyol,7,4
赫塔菲,Getafe,7,4
赫罗纳,Girona,7,4
阿拉维斯,Alves Sales,7,4
毕尔巴鄂竞技,Athletic Bilbao,6,4
马德里竞技,Atletico Madrid,5,4
皇家贝蒂斯,Real Betis,5,4
莱万特,Levante,4,4
塞维利亚,Sevilla,4,4
皇家社会,Real Sociedad,4,4
比利亚雷亚尔,Villarreal,4,4
埃瓦尔,Eibar,4,4
巴列卡诺,Rayo Vallecano,4,4
韦斯卡,SD Huesca,4,4
巴伦西亚,Valencia?,3,4
瓦拉多利德,Real Valladolid,2,4
莱加内斯,Leganes,1,4
巴塞罗那,FC Barcelona,13,5
皇家马德里,Real Madrid,13,5
阿拉维斯,Alves Sales,10,5
塞尔塔,Celta Vigo,8,5
马德里竞技,Atletico Madrid,8,5
赫罗纳,Girona,8,5
塞维利亚,Sevilla,7,5
毕尔巴鄂竞技,Athletic Bilbao,7,5
西班牙人,RCD Espanyol,7,5
皇家社会,Real Sociedad,7,5
赫塔菲,Getafe,7,5
埃瓦尔,Eibar,7,5
皇家贝蒂斯,Real Betis,6,5
比利亚雷亚尔,Villarreal,5,5
巴伦西亚,Valencia?,4,5
莱万特,Levante,4,5
韦斯卡,SD Huesca,4,5
巴列卡诺,Rayo Vallecano,4,5
瓦拉多利德,Real Valladolid,3,5
莱加内斯,Leganes,1,5
巴塞罗那,FC Barcelona,13,6
皇家马德里,Real Madrid,13,6
马德里竞技,Atletico Madrid,11,6
阿拉维斯,Alves Sales,11,6
塞维利亚,Sevilla,10,6
西班牙人,RCD Espanyol,10,6
塞尔塔,Celta Vigo,9,6
皇家贝蒂斯,Real Betis,9,6
比利亚雷亚尔,Villarreal,8,6
皇家社会,Real Sociedad,8,6
赫塔菲,Getafe,8,6
赫罗纳,Girona,8,6
毕尔巴鄂竞技,Athletic Bilbao,7,6
埃瓦尔,Eibar,7,6
瓦拉多利德,Real Valladolid,6,6
巴伦西亚,Valencia?,5,6
巴列卡诺,Rayo Vallecano,5,6
莱万特,Levante,4,6
莱加内斯,Leganes,4,6
韦斯卡,SD Huesca,4,6
巴塞罗那,FC Barcelona,14,7
皇家马德里,Real Madrid,14,7
塞维利亚,Sevilla,13,7
马德里竞技,Atletico Madrid,12,7
皇家贝蒂斯,Real Betis,12,7
阿拉维斯,Alves Sales,11,7
西班牙人,RCD Espanyol,11,7
塞尔塔,Celta Vigo,10,7
赫塔菲,Getafe,9,7
瓦拉多利德,Real Valladolid,9,7
赫罗纳,Girona,9,7
比利亚雷亚尔,Villarreal,8,7
皇家社会,Real Sociedad,8,7
巴伦西亚,Valencia?,8,7
毕尔巴鄂竞技,Athletic Bilbao,8,7
莱万特,Levante,7,7
埃瓦尔,Eibar,7,7
巴列卡诺,Rayo Vallecano,6,7
韦斯卡,SD Huesca,5,7
莱加内斯,Leganes,4,7
塞维利亚,Sevilla,16,8
巴塞罗那,FC Barcelona,15,8
马德里竞技,Atletico Madrid,15,8
皇家马德里,Real Madrid,14,8
西班牙人,RCD Espanyol,14,8
阿拉维斯,Alves Sales,14,8
